epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
65,5999.91,1.51817,1.31592,0.01227,0.651,0.59737,0.62388,0.33727,1.72798,1.55266,0.01825,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,6089.52,1.5159,1.30009,0.01214,0.63463,0.60767,0.61996,0.33897,1.7385,1.53784,0.01837,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,6179.11,1.52065,1.28443,0.01221,0.64497,0.59682,0.62294,0.34042,1.74565,1.52555,0.01844,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,6268.21,1.50512,1.26863,0.01209,0.64003,0.59192,0.61838,0.33635,1.74848,1.54255,0.01838,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,6357.79,1.50266,1.26049,0.01219,0.63618,0.5971,0.60925,0.33719,1.75297,1.54665,0.01846,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,6446.98,1.49116,1.25011,0.01218,0.64518,0.58868,0.61196,0.33611,1.75271,1.56263,0.0185,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,6536.09,1.48853,1.24749,0.01177,0.64299,0.57955,0.61305,0.33484,1.75521,1.55441,0.01847,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,6625.33,1.47804,1.2291,0.01194,0.66025,0.58387,0.62118,0.3389,1.75943,1.55132,0.01855,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,6717.99,1.47338,1.20873,0.01177,0.63471,0.60093,0.61887,0.33621,1.75791,1.56032,0.01855,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,6807.63,1.48143,1.22927,0.01194,0.6429,0.59069,0.61606,0.3367,1.7603,1.5694,0.01858,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,6896.43,1.46896,1.19243,0.01175,0.66458,0.57986,0.61766,0.33736,1.75817,1.57437,0.0185,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,6985.42,1.4584,1.19708,0.01179,0.66465,0.58083,0.61896,0.33638,1.76198,1.56959,0.01859,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
